id,k,np
p886,0.07500000000000001,201
p887,0.07500000000000001,202
p888,0.07500000000000001,203
p889,0.07500000000000001,204
p890,0.07500000000000001,205
p891,0.07500000000000001,206
p892,0.07500000000000001,207
p893,0.07500000000000001,208
p894,0.07500000000000001,209
p895,0.07500000000000001,210
p896,0.07500000000000001,211
p897,0.07500000000000001,212
p898,0.07500000000000001,213
p899,0.07500000000000001,214
p900,0.07500000000000001,215
p901,0.07500000000000001,216
p902,0.07500000000000001,217
p903,0.07500000000000001,218
p904,0.07500000000000001,219
p905,0.07500000000000001,220
p906,0.07500000000000001,221
p907,0.07500000000000001,222
p908,0.07500000000000001,223
p909,0.07500000000000001,224
p910,0.07500000000000001,225
p911,0.07500000000000001,226
p912,0.07500000000000001,227
p913,0.07500000000000001,228
p914,0.07500000000000001,229
p915,0.07500000000000001,230
p916,0.1,2
p917,0.1,3
p918,0.1,4
p919,0.1,5
p920,0.1,6
p921,0.1,7
p922,0.1,8
p923,0.1,9
p924,0.1,10
p925,0.1,11
p926,0.1,12
p927,0.1,13
p928,0.1,14
p929,0.1,15
p930,0.1,16
p931,0.1,17
p932,0.1,18
p933,0.1,19
p934,0.1,20
p935,0.1,21
p936,0.1,22
p937,0.1,23
p938,0.1,24
p939,0.1,25
p940,0.1,26
p941,0.1,27
p942,0.1,28
p943,0.1,29
p944,0.1,30
p945,0.1,31
p946,0.1,32
p947,0.1,33
p948,0.1,34
p949,0.1,35
p950,0.1,36
p951,0.1,37
p952,0.1,38
p953,0.1,39
p954,0.1,40
p955,0.1,41
p956,0.1,42
p957,0.1,43
p958,0.1,44
p959,0.1,45
p960,0.1,46
p961,0.1,47
p962,0.1,48
p963,0.1,49
p964,0.1,50
p965,0.1,51
p966,0.1,52
p967,0.1,53
p968,0.1,54
p969,0.1,55
p970,0.1,56
p971,0.1,57
p972,0.1,58
p973,0.1,59
p974,0.1,60
p975,0.1,61
p976,0.1,62
p977,0.1,63
p978,0.1,64
p979,0.1,65
p980,0.1,66
p981,0.1,67
p982,0.1,68
p983,0.1,69
p984,0.1,70
p985,0.1,71
p986,0.1,72
p987,0.1,73
p988,0.1,74
p989,0.1,75
p990,0.1,76
p991,0.1,77
p992,0.1,78
p993,0.1,79
p994,0.1,80
p995,0.1,81
p996,0.1,82
p997,0.1,83
p998,0.1,84
p999,0.1,85
p1000,0.1,86
p1001,0.1,87
p1002,0.1,88
p1003,0.1,89
p1004,0.1,90
p1005,0.1,91
p1006,0.1,92
p1007,0.1,93
p1008,0.1,94
p1009,0.1,95
p1010,0.1,96
p1011,0.1,97
p1012,0.1,98
p1013,0.1,99
p1014,0.1,100
p1015,0.1,101
p1016,0.1,102
p1017,0.1,103
p1018,0.1,104
p1019,0.1,105
p1020,0.1,106
p1021,0.1,107
p1022,0.1,108
p1023,0.1,109
p1024,0.1,110
p1025,0.1,111
p1026,0.1,112
p1027,0.1,113
p1028,0.1,114
p1029,0.1,115
p1030,0.1,116
p1031,0.1,117
p1032,0.1,118
p1033,0.1,119
p1034,0.1,120
p1035,0.1,121
p1036,0.1,122
p1037,0.1,123
p1038,0.1,124
p1039,0.1,125
p1040,0.1,126
p1041,0.1,127
p1042,0.1,128
p1043,0.1,129
p1044,0.1,130
p1045,0.1,131
p1046,0.1,132
p1047,0.1,133
p1048,0.1,134
p1049,0.1,135
p1050,0.1,136
p1051,0.1,137
p1052,0.1,138
p1053,0.1,139
p1054,0.1,140
p1055,0.1,141
p1056,0.1,142
p1057,0.1,143
p1058,0.1,144
p1059,0.1,145
p1060,0.1,146
p1061,0.1,147
p1062,0.1,148
p1063,0.1,149
p1064,0.1,150
p1065,0.1,151
p1066,0.1,152
p1067,0.1,153
p1068,0.1,154
p1069,0.1,155
