id,k,np
p704,0.05,61
p705,0.05,62
p706,0.05,63
p707,0.05,64
p708,0.05,65
p709,0.05,66
p710,0.05,67
p711,0.05,68
p712,0.05,69
p713,0.05,70
p714,0.05,71
p715,0.05,72
p716,0.05,73
p717,0.05,74
p718,0.05,75
p719,0.05,76
p720,0.05,77
p721,0.05,78
p722,0.05,79
p723,0.05,80
p724,0.05,81
p725,0.05,82
p726,0.05,83
p727,0.05,84
p728,0.05,85
p729,0.05,86
p730,0.05,87
p731,0.05,88
p732,0.05,89
p733,0.05,90
p734,0.05,91
p735,0.05,92
p736,0.05,93
p737,0.05,94
p738,0.05,95
p739,0.05,96
p740,0.05,97
p741,0.05,98
p742,0.05,99
p743,0.05,100
p744,0.05,101
p745,0.05,102
p746,0.05,103
p747,0.05,104
p748,0.05,105
p749,0.05,106
p750,0.05,107
p751,0.05,108
p752,0.05,109
p753,0.05,110
p754,0.05,111
p755,0.05,112
p756,0.05,113
p757,0.05,114
p758,0.05,115
p759,0.05,116
p760,0.05,117
p761,0.05,118
p762,0.05,119
p763,0.05,120
p764,0.05,121
p765,0.05,122
p766,0.05,123
p767,0.05,124
p768,0.05,125
p769,0.05,126
p770,0.05,127
p771,0.05,128
p772,0.05,129
p773,0.05,130
p774,0.06,2
p775,0.06,3
p776,0.06,4
p777,0.06,5
p778,0.06,6
p779,0.06,7
p780,0.06,8
p781,0.06,9
p782,0.06,10
p783,0.06,11
p784,0.06,12
p785,0.06,13
p786,0.06,14
p787,0.06,15
p788,0.06,16
p789,0.06,17
p790,0.06,18
p791,0.06,19
p792,0.06,20
p793,0.06,21
p794,0.06,22
p795,0.06,23
p796,0.06,24
p797,0.06,25
p798,0.06,26
p799,0.06,27
p800,0.06,28
p801,0.06,29
p802,0.06,30
p803,0.06,31
p804,0.06,32
p805,0.06,33
p806,0.06,34
p807,0.06,35
p808,0.06,36
p809,0.06,37
p810,0.06,38
p811,0.06,39
p812,0.06,40
p813,0.06,41
p814,0.06,42
p815,0.06,43
p816,0.06,44
p817,0.06,45
p818,0.06,46
p819,0.06,47
p820,0.06,48
p821,0.06,49
p822,0.06,50
p823,0.06,51
p824,0.06,52
p825,0.06,53
p826,0.06,54
p827,0.06,55
p828,0.06,56
p829,0.06,57
p830,0.06,58
p831,0.06,59
p832,0.06,60
p833,0.06,61
p834,0.06,62
p835,0.06,63
p836,0.06,64
p837,0.06,65
p838,0.06,66
p839,0.06,67
p840,0.06,68
p841,0.06,69
p842,0.06,70
p843,0.06,71
p844,0.06,72
p845,0.06,73
p846,0.06,74
p847,0.06,75
p848,0.06,76
p849,0.06,77
p850,0.06,78
p851,0.06,79
p852,0.06,80
p853,0.06,81
p854,0.06,82
p855,0.06,83
p856,0.06,84
p857,0.06,85
p858,0.06,86
p859,0.06,87
p860,0.06,88
p861,0.06,89
p862,0.06,90
p863,0.06,91
p864,0.06,92
p865,0.06,93
p866,0.06,94
p867,0.06,95
p868,0.06,96
p869,0.06,97
p870,0.06,98
p871,0.06,99
p872,0.06,100
p873,0.06,101
p874,0.06,102
p875,0.06,103
p876,0.06,104
p877,0.06,105
p878,0.06,106
p879,0.06,107
p880,0.06,108
p881,0.06,109
p882,0.06,110
p883,0.06,111
p884,0.06,112
p885,0.06,113
p886,0.06,114
p887,0.06,115
p888,0.06,116
p889,0.06,117
p890,0.06,118
p891,0.06,119
p892,0.06,120
p893,0.06,121
p894,0.06,122
p895,0.06,123
p896,0.06,124
p897,0.06,125
p898,0.06,126
p899,0.06,127
p900,0.06,128
p901,0.06,129
p902,0.06,130
p903,0.07,2
p904,0.07,3
p905,0.07,4
p906,0.07,5
p907,0.07,6
p908,0.07,7
p909,0.07,8
p910,0.07,9
p911,0.07,10
p912,0.07,11
p913,0.07,12
p914,0.07,13
p915,0.07,14
p916,0.07,15
p917,0.07,16
p918,0.07,17
p919,0.07,18
p920,0.07,19
p921,0.07,20
p922,0.07,21
p923,0.07,22
p924,0.07,23
p925,0.07,24
p926,0.07,25
p927,0.07,26
p928,0.07,27
p929,0.07,28
p930,0.07,29
p931,0.07,30
p932,0.07,31
p933,0.07,32
p934,0.07,33
p935,0.07,34
p936,0.07,35
p937,0.07,36
p938,0.07,37
p939,0.07,38
p940,0.07,39
p941,0.07,40
p942,0.07,41
p943,0.07,42
p944,0.07,43
p945,0.07,44
p946,0.07,45
p947,0.07,46
p948,0.07,47
p949,0.07,48
p950,0.07,49
p951,0.07,50
p952,0.07,51
p953,0.07,52
p954,0.07,53
p955,0.07,54
p956,0.07,55
p957,0.07,56
p958,0.07,57
p959,0.07,58
p960,0.07,59
p961,0.07,60
p962,0.07,61
p963,0.07,62
p964,0.07,63
p965,0.07,64
p966,0.07,65
p967,0.07,66
p968,0.07,67
p969,0.07,68
p970,0.07,69
p971,0.07,70
p972,0.07,71
p973,0.07,72
p974,0.07,73
p975,0.07,74
p976,0.07,75
p977,0.07,76
p978,0.07,77
p979,0.07,78
p980,0.07,79
p981,0.07,80
p982,0.07,81
p983,0.07,82
p984,0.07,83
p985,0.07,84
p986,0.07,85
p987,0.07,86
p988,0.07,87
p989,0.07,88
p990,0.07,89
p991,0.07,90
p992,0.07,91
p993,0.07,92
p994,0.07,93
p995,0.07,94
p996,0.07,95
p997,0.07,96
p998,0.07,97
p999,0.07,98
p1000,0.07,99
p1001,0.07,100
p1002,0.07,101
p1003,0.07,102
p1004,0.07,103
p1005,0.07,104
p1006,0.07,105
p1007,0.07,106
p1008,0.07,107
p1009,0.07,108
p1010,0.07,109
p1011,0.07,110
p1012,0.07,111
p1013,0.07,112
p1014,0.07,113
p1015,0.07,114
p1016,0.07,115
p1017,0.07,116
p1018,0.07,117
p1019,0.07,118
p1020,0.07,119
p1021,0.07,120
p1022,0.07,121
